year,population,population_rate,growth,growth_rate,GDP,GDP_rate,PPP,PPP_rate,GNI,GNI_rate,IPP,IPP_rate,NI,NI_rate,NIPP,NIPP_rate
1951,7758202,-,-,--,12327,-,1589,-,12320,-,1588,-,12276,-,1582,-
1952,8046915,3.72,12,--,17275,40.14,2147,35.12,17271,40.19,2146,35.14,17119,39.45,2127,34.45
1953,8333009,3.56,9.49,--,23036,33.35,2764,28.74,23032,33.36,2764,28.8,22712,32.67,2726,28.16
1954,8645264,3.75,9.64,--,25315,9.89,2928,5.93,25311,9.89,2928,5.93,24759,9.01,2864,5.06
1955,8967001,3.72,7.72,--,30163,19.15,3364,14.89,30160,19.16,3363,14.86,29326,18.45,3270,14.18
1956,9289545,3.6,6.17,--,34672,14.95,3732,10.94,34665,14.94,3732,10.97,33546,14.39,3611,10.43
1957,9597690,3.32,7.81,--,40549,16.95,4225,13.21,40494,16.82,4219,13.05,38965,16.15,4060,12.43
1958,9920227,3.36,7.68,--,45498,12.2,4586,8.54,45317,11.91,4568,8.27,43409,11.41,4376,7.78
1959,10288327,3.71,8.81,--,52526,15.45,5105,11.32,52370,15.56,5090,11.43,49984,15.15,4858,11.01
1960,10667705,3.69,7.2,--,63398,20.7,5943,16.42,63371,21.01,5940,16.7,60483,21,5670,16.71
1961,11030385,3.4,7.05,--,71128,12.19,6448,8.5,71045,12.11,6441,8.43,67549,11.68,6124,8.01
1962,11392513,3.28,8.93,--,78412,10.24,6883,6.75,78302,10.21,6873,6.71,74227,9.89,6515,6.38
1963,11762101,3.24,10.74,--,88740,13.17,7545,9.62,88627,13.19,7535,9.63,84170,13.4,7156,9.84
1964,12137143,3.19,12.63,--,103673,16.83,8542,13.21,103689,16.99,8543,13.38,98520,17.05,8117,13.43
1965,12511863,3.09,11.89,--,114771,10.7,9173,7.39,114577,10.5,9157,7.19,108626,10.26,8682,6.96
1966,12874153,2.9,9.63,--,128282,11.77,9964,8.62,128185,11.88,9957,8.74,121282,11.65,9421,8.51
1967,13210344,2.61,11.15,--,148360,15.65,11231,12.72,148037,15.49,11206,12.54,139680,15.17,10574,12.24
1968,13548537,2.56,9.71,--,173026,16.63,12771,13.71,172568,16.57,12737,13.66,162303,16.2,11979,13.29
1969,14068984,3.84,9.59,--,200707,16,14266,11.71,200460,16.16,14248,11.86,187720,15.66,13343,11.39
